Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Fecha
0,0,0,0,0,0,7,0,4,0,1,0,0,1,0,0,2020-03-09
0,0,0,0,0,0,10,0,5,0,1,0,0,1,0,0,2020-03-10
0,0,0,0,0,0,14,0,7,0,1,0,0,1,0,0,2020-03-11
0,0,0,0,0,0,23,0,7,1,1,0,0,1,0,0,2020-03-12
0,0,0,0,0,0,29,0,8,2,3,0,0,1,0,0,2020-03-13
0,0,2,1,0,0,40,0,9,4,3,0,0,1,1,0,2020-03-14
0,0,2,1,0,0,54,0,9,4,3,0,0,1,1,0,2020-03-15
0,0,2,1,0,1,123,0,9,12,4,1,1,1,1,0,2020-03-16
0,0,2,1,0,1,152,0,9,26,4,1,1,1,1,2,2020-03-17
0,0,2,1,0,1,174,0,11,26,7,4,1,8,1,2,2020-03-18
1,0,2,1,2,4,247,2,14,28,14,7,1,16,1,2,2020-03-19
1,0,6,1,3,5,304,6,14,44,19,9,1,18,1,2,2020-03-20
1,0,10,1,3,13,359,7,15,58,30,15,1,20,1,3,2020-03-21
2,0,11,1,5,16,409,8,25,64,35,27,1,23,1,4,2020-03-22
2,1,11,1,6,19,459,8,28,81,46,40,4,33,1,6,2020-03-23
2,4,13,1,11,25,540,9,29,105,73,59,6,36,1,8,2020-03-24
2,4,19,1,12,32,682,11,30,111,95,74,11,44,1,13,2020-03-25
3,5,20,1,13,44,746,14,31,114,109,111,14,60,2,19,2020-03-26
3,5,21,1,14,49,938,16,32,144,135,143,22,63,2,22,2020-03-27
3,5,25,1,15,71,1084,20,37,172,151,177,27,93,2,26,2020-03-28
4,6,27,2,18,80,1167,21,42,197,185,205,40,104,2,39,2020-03-29
6,8,35,2,27,108,1295,21,54,229,201,247,47,128,2,39,2020-03-30
6,10,35,2,28,115,1420,23,62,245,216,302,58,151,2,63,2020-03-31
6,10,39,3,30,136,1521,26,71,259,240,343,64,181,3,99,2020-04-01
7,12,47,3,34,156,1636,32,82,341,275,389,68,203,5,114,2020-04-02
12,13,54,5,35,176,1742,33,89,370,302,432,78,234,6,156,2020-04-03
12,17,55,5,44,185,1957,38,97,401,347,477,89,259,6,172,2020-04-04
28,20,60,5,50,191,2102,41,103,425,365,509,99,276,7,190,2020-04-05
41,21,68,5,51,198,2244,42,108,474,383,562,104,286,7,221,2020-04-06
53,23,69,6,52,214,2350,42,108,522,410,612,109,299,7,240,2020-04-07
63,26,77,8,56,225,2548,43,119,561,439,669,114,325,7,266,2020-04-08
75,29,92,10,61,230,2832,44,128,571,460,689,118,340,7,286,2020-04-09
87,35,110,13,61,241,3193,44,131,589,474,712,124,349,7,331,2020-04-10
107,38,117,13,64,248,3448,45,134,606,490,739,130,364,7,377,2020-04-11
115,46,138,13,66,254,3599,46,138,613,500,775,135,372,7,396,2020-04-12
115,52,149,13,66,273,3803,48,141,618,512,795,138,380,7,415,2020-04-13
120,62,155,13,66,285,4086,53,142,622,528,816,148,385,7,429,2020-04-14
124,62,176,13,66,299,4334,54,152,634,542,826,150,390,7,444,2020-04-15
129,66,192,13,68,330,4682,54,167,639,559,882,153,399,7,467,2020-04-16
134,73,211,13,68,345,4915,55,223,656,578,907,154,412,7,501,2020-04-17
142,81,226,13,68,359,5192,55,276,667,606,944,156,416,7,522,2020-04-18
145,90,249,13,68,381,5381,55,302,678,616,972,157,421,7,553,2020-04-19
161,93,263,13,69,388,5643,56,304,687,626,1045,162,424,7,566,2020-04-20
170,104,291,13,69,403,5788,57,316,694,636,1092,167,432,7,593,2020-04-21
180,114,326,13,70,421,6083,59,328,703,658,1113,171,445,7,605,2020-04-22
210,128,340,18,70,429,6434,76,333,708,675,1142,173,454,7,615,2020-04-23
239,134,366,21,72,436,6761,81,349,715,683,1184,174,460,7,624,2020-04-24
245,143,391,24,73,454,7165,85,350,725,696,1203,177,465,7,655,2020-04-25
252,156,443,29,73,460,7496,92,354,731,703,1216,178,473,7,668,2020-04-26
265,164,457,35,74,485,7858,94,363,741,706,1236,180,477,7,671,2020-04-27
268,169,481,35,74,493,8300,97,384,747,709,1251,180,477,7,693,2020-04-28
272,183,514,42,76,526,8889,104,392,761,719,1273,182,481,7,714,2020-04-29
279,198,546,43,76,559,9625,108,393,768,727,1293,189,487,7,725,2020-04-30
297,200,589,43,77,568,10516,109,394,768,729,1295,189,501,7,726,2020-05-01
307,212,679,59,78,614,11661,120,396,776,751,1314,196,513,7,752,2020-05-02
308,272,740,67,88,638,12656,125,397,786,759,1328,198,517,7,777,2020-05-03
308,295,760,70,91,656,13528,131,399,787,762,1331,199,524,7,795,2020-05-04
